method,fpr,tpr,auc
One-Class SVM,0.00395703787450537,0.11410459587955626,0.3426201736366494
One-Class SVM,0.00395703787450537,0.11568938193343899,0.3426201736366494
One-Class SVM,0.0045223289994347085,0.11568938193343899,0.3426201736366494
One-Class SVM,0.0045223289994347085,0.12202852614896989,0.3426201736366494
One-Class SVM,0.005087620124364048,0.12202852614896989,0.3426201736366494
One-Class SVM,0.005087620124364048,0.12361331220285261,0.3426201736366494
One-Class SVM,0.005652911249293386,0.12361331220285261,0.3426201736366494
One-Class SVM,0.005652911249293386,0.12519809825673534,0.3426201736366494
One-Class SVM,0.00791407574901074,0.12519809825673534,0.3426201736366494
One-Class SVM,0.00791407574901074,0.12678288431061807,0.3426201736366494
One-Class SVM,0.008479366873940079,0.12678288431061807,0.3426201736366494
One-Class SVM,0.008479366873940079,0.13153724247226625,0.3426201736366494
One-Class SVM,0.009044657998869417,0.13153724247226625,0.3426201736366494
One-Class SVM,0.009044657998869417,0.13312202852614896,0.3426201736366494
One-Class SVM,0.009609949123798756,0.13312202852614896,0.3426201736366494
One-Class SVM,0.009609949123798756,0.13946117274167988,0.3426201736366494
One-Class SVM,0.010175240248728096,0.13946117274167988,0.3426201736366494
One-Class SVM,0.010175240248728096,0.1410459587955626,0.3426201736366494
One-Class SVM,0.010740531373657434,0.1410459587955626,0.3426201736366494
One-Class SVM,0.010740531373657434,0.14580031695721077,0.3426201736366494
One-Class SVM,0.011871113623516111,0.14580031695721077,0.3426201736366494
One-Class SVM,0.011871113623516111,0.1473851030110935,0.3426201736366494
One-Class SVM,0.01243640474844545,0.1473851030110935,0.3426201736366494
One-Class SVM,0.01243640474844545,0.15530903328050713,0.3426201736366494
One-Class SVM,0.014697569248162803,0.15530903328050713,0.3426201736366494
One-Class SVM,0.014697569248162803,0.15689381933438987,0.3426201736366494
One-Class SVM,0.016958733747880157,0.15689381933438987,0.3426201736366494
One-Class SVM,0.016958733747880157,0.15847860538827258,0.3426201736366494
One-Class SVM,0.017524024872809497,0.15847860538827258,0.3426201736366494
One-Class SVM,0.017524024872809497,0.1600633914421553,0.3426201736366494
One-Class SVM,0.01921989824759751,0.1600633914421553,0.3426201736366494
One-Class SVM,0.01921989824759751,0.16164817749603805,0.3426201736366494
One-Class SVM,0.02148106274731487,0.16164817749603805,0.3426201736366494
One-Class SVM,0.02148106274731487,0.16323296354992076,0.3426201736366494
One-Class SVM,0.0248728094968909,0.16323296354992076,0.3426201736366494
One-Class SVM,0.0248728094968909,0.1664025356576862,0.3426201736366494
One-Class SVM,0.026568682871678916,0.1664025356576862,0.3426201736366494
One-Class SVM,0.026568682871678916,0.16957210776545167,0.3426201736366494
One-Class SVM,0.029960429621254947,0.16957210776545167,0.3426201736366494
One-Class SVM,0.029960429621254947,0.17115689381933438,0.3426201736366494
One-Class SVM,0.0322215941209723,0.17115689381933438,0.3426201736366494
One-Class SVM,0.0322215941209723,0.17274167987321712,0.3426201736366494
One-Class SVM,0.034482758620689655,0.17274167987321712,0.3426201736366494
One-Class SVM,0.034482758620689655,0.17432646592709986,0.3426201736366494
One-Class SVM,0.03900508762012436,0.17432646592709986,0.3426201736366494
One-Class SVM,0.03900508762012436,0.17591125198098256,0.3426201736366494
One-Class SVM,0.0395703787450537,0.17591125198098256,0.3426201736366494
One-Class SVM,0.0395703787450537,0.1774960380348653,0.3426201736366494
One-Class SVM,0.041831543244771056,0.1774960380348653,0.3426201736366494
One-Class SVM,0.041831543244771056,0.179080824088748,0.3426201736366494
One-Class SVM,0.04522328999434709,0.179080824088748,0.3426201736366494
One-Class SVM,0.04522328999434709,0.18066561014263074,0.3426201736366494
One-Class SVM,0.04861503674392312,0.18066561014263074,0.3426201736366494
One-Class SVM,0.04861503674392312,0.1838351822503962,0.3426201736366494
One-Class SVM,0.05031091011871114,0.1838351822503962,0.3426201736366494
One-Class SVM,0.05031091011871114,0.18541996830427893,0.3426201736366494
One-Class SVM,0.05144149236856981,0.18541996830427893,0.3426201736366494
One-Class SVM,0.05144149236856981,0.18700475435816163,0.3426201736366494
One-Class SVM,0.05313736574335783,0.18700475435816163,0.3426201736366494
One-Class SVM,0.05313736574335783,0.1901743264659271,0.3426201736366494
One-Class SVM,0.0570944036178632,0.1901743264659271,0.3426201736366494
One-Class SVM,0.0570944036178632,0.19175911251980982,0.3426201736366494
One-Class SVM,0.059355568117580554,0.19175911251980982,0.3426201736366494
One-Class SVM,0.059355568117580554,0.19334389857369255,0.3426201736366494
One-Class SVM,0.06670435274166196,0.19334389857369255,0.3426201736366494
One-Class SVM,0.06670435274166196,0.1949286846275753,0.3426201736366494
One-Class SVM,0.06726964386659129,0.1949286846275753,0.3426201736366494
One-Class SVM,0.06726964386659129,0.196513470681458,0.3426201736366494
One-Class SVM,0.06896551724137931,0.196513470681458,0.3426201736366494
One-Class SVM,0.06896551724137931,0.19809825673534073,0.3426201736366494
One-Class SVM,0.07348784624081402,0.19809825673534073,0.3426201736366494
