run,step,metric,value
PPO_1,1493160,value_loss,7642899.5
PPO_1,1498680,value_loss,17315.513671875
PPO_1,1504200,value_loss,7626289.5
PPO_1,1509720,value_loss,16212.619140625
PPO_1,1518000,value_loss,846323.6875
PPO_1,1523520,value_loss,1537441.375
PPO_1,1529040,value_loss,842613.1875
PPO_1,1534560,value_loss,1536346.625
PPO_1,1540080,value_loss,838353.125
PPO_1,1545600,value_loss,1531296.25
PPO_1,1553880,value_loss,19183.75390625
PPO_1,1559400,value_loss,7572772.5
PPO_1,1564920,value_loss,18504.736328125
PPO_1,1570440,value_loss,7563632.5
PPO_1,1575960,value_loss,16300.66796875
PPO_1,1581480,value_loss,7544439.0
PPO_1,1589760,value_loss,1517522.125
PPO_1,1595280,value_loss,820079.0625
PPO_1,1600800,value_loss,1508871.375
PPO_1,1606320,value_loss,816148.375
PPO_1,1611840,value_loss,1506400.875
PPO_1,1617360,value_loss,812575.9375
PPO_1,1622880,value_loss,1503060.875
PPO_1,1631160,value_loss,18556.841796875
PPO_1,1636680,value_loss,7484215.0
PPO_1,1642200,value_loss,13987.7548828125
PPO_1,1647720,value_loss,7471286.5
PPO_1,1653240,value_loss,13808.830078125
PPO_1,1658760,value_loss,7460598.5
PPO_1,1667040,value_loss,1481028.125
PPO_1,1672560,value_loss,793789.4375
PPO_1,1678080,value_loss,1481246.625
PPO_1,1683600,value_loss,790293.8125
PPO_1,1689120,value_loss,1476411.5
PPO_1,1694640,value_loss,785779.375
PPO_1,1702920,value_loss,7411960.0
PPO_1,1708440,value_loss,10827.43359375
PPO_1,1713960,value_loss,7400982.5
PPO_1,1719480,value_loss,10775.4375
PPO_1,1725000,value_loss,7394937.5
PPO_1,1730520,value_loss,9118.70703125
PPO_1,1736040,value_loss,7381114.0
PPO_1,1744320,value_loss,1455226.625
PPO_1,1749840,value_loss,768010.625
PPO_1,1755360,value_loss,1454157.125
PPO_1,1760880,value_loss,763685.625
PPO_1,1766400,value_loss,1447061.875
PPO_1,1771920,value_loss,760410.75
PPO_1,1780200,value_loss,7338486.0
PPO_1,1785720,value_loss,5685.9248046875
PPO_1,1791240,value_loss,7324536.0
PPO_1,1796760,value_loss,6372.1240234375
PPO_1,1802280,value_loss,7317500.5
PPO_1,1807800,value_loss,6206.3798828125
PPO_1,1816080,value_loss,745784.9375
PPO_1,1821600,value_loss,1426148.125
PPO_1,1827120,value_loss,742279.6875
